OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
1,SW48000001,"MCDOWELL, W. L.",TX,ACTIVE WELL,USA,32.94533425,-95.54109419,30066,4249930066D1,740269,VALENCE OPERATING COMPANY,UNKNOWN,YANTIS (HILL ZONE),2012/09/18 00:00:00+00,W480490610,{328CC598-2B8B-47E4-A8F3-F6D92DEF77E2}
2,SW48000002,NEUHOFF (BUDA-WOODBINE) UNIT,TX,ACTIVE WELL,USA,32.71941404,-95.36287557,30742,4249930742D1,710207,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (BUDA-WOODBINE),2011/06/15 00:00:00+00,W480490681,{D69C5754-D2C9-4738-A04F-31F2682E9BD1}
3,SW48000003,TURBEVILLE UNIT,TX,ACTIVE WELL,USA,32.68519966,-95.3682942,31127,4249931127D1,684047,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2009/12/15 00:00:00+00,W480490643,{61010D21-1290-44FD-A0E3-24D130166C88}
4,SW48000004,TURBEVILLE UNIT,TX,ACTIVE WELL,USA,32.68495487,-95.36790369,31127,4249931127D2,684047,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2009/12/15 00:00:00+00,W480490643,{F902F569-9428-48EB-9BE9-02A6CFF2FBD9}
5,SW48000005,"WILLIAMS, THURMAN",TX,ACTIVE WELL,USA,32.69861601,-95.38697713,31880,4249931880D2,815545,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490647,{6A6F727A-3C5A-4E8E-BF5B-D1D5B78C3890}
6,SW48000006,SCHNEIDER (BUDA) UNIT,TX,ACTIVE WELL,USA,32.68511282,-95.38441773,31982,4249931982D1,530489,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,SCHNEIDER (BUDA),2003/10/09 00:00:00+00,W480490654,{AD0D7C11-8CBA-42AB-9785-859E8B3550E3}
7,SW48000007,WADE,TX,ACTIVE WELL,USA,32.68268656,-95.38331133,31993,4249931993D2,757947,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490653,{ECA2BB11-EA69-4D12-8233-DB22D44FD40D}
8,SW48000008,SASI RANCH UNIT,TX,ACTIVE WELL,USA,32.67967357,-95.37934102,32101,4249932101DW,699852,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2011/05/14 00:00:00+00,W480490655,{53A4DD81-029C-4CB2-AE12-FBFF896BE102}
9,SW48000009,SASI RANCH UNIT,TX,ACTIVE WELL,USA,32.67744533,-95.3831542,31785,4249931785D2,687426,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2010/01/27 00:00:00+00,W480490657,{37B14529-C5D2-4118-B267-1728BB3A395A}
10,SW48000010,HFU P,TX,ACTIVE WELL,USA,32.59633424,-95.21177952,31830,4249931830D1,490235,XTO ENERGY INC.,UNKNOWN,HAWKINS (CHARGED EOCENE SDS.),2001/02/07 00:00:00+00,W480490743,{DC7D22EF-097C-4037-B31C-64F85CF4D5EB}
11,SW48000011,HAWKINS FIELD UNIT,TX,ACTIVE WELL,USA,32.59468903,-95.18040308,31137,4249931137DW,182765,XTO ENERGY INC.,UNKNOWN,HAWKINS,2015/04/02 00:00:00+00,W480490724,{8159A253-683F-457C-B3F6-269FDE64F4C9}
12,SW48000012,BUDDY,TX,ACTIVE WELL,USA,32.71301515,-95.36651778,31981,4249931981D2,789027,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490683,{A344D3CE-16E6-4117-B43F-50489D7189F6}
13,SW48000013,FERGUSON,TX,ACTIVE WELL,USA,33.34430748,-97.40222004,35442,4249735442D1,668143,VANTAGE FORT WORTH ENERGY LLC,UNKNOWN,NOT AVAILABLE,,W480490280,{61CBFC3A-3A24-4972-980D-A0B39807572E}
14,SW48000014,FOX,TX,ACTIVE WELL,USA,33.22801206,-97.40873075,35542,4249735542H1,680384,BURLINGTON RESOURCES O & G CO LP,UNKNOWN,"BOONSVILLE (BEND CONGL., GAS)",2009/06/08 00:00:00+00,W480490365,{F164F401-EA7E-4232-A789-918DB44AC9D5}
15,SW48000015,FOX,TX,ACTIVE WELL,USA,33.22625823,-97.40421278,35542,4249735542DW,680384,BURLINGTON RESOURCES O & G CO LP,UNKNOWN,"BOONSVILLE (BEND CONGL., GAS)",2009/06/08 00:00:00+00,W480490365,{0CD3223F-6458-4B8D-AB7B-8BB65B06BC53}
16,SW48000016,DALE,TX,ACTIVE WELL,USA,33.01678239,-97.9001411,36417,4249736417D1,651668,"DALE, DOYLE C.",UNKNOWN,"NEWARK, EAST (BARNETT SHALE)",2008/03/20 00:00:00+00,W480490488,{739A967B-7DE8-408E-B298-4C942A1DBA2E}
17,SW48000017,"TIMM, TULLIE",TX,ACTIVE WELL,USA,33.09260125,-97.52717227,35512,4249735512DW,653331,"DEVON ENERGY PRODUCTION CO, L.P.",UNKNOWN,"BOYD, N. (STRAWN 4200)",2008/06/06 00:00:00+00,W480490458,{4D37DCF2-6321-4459-85CA-8C9052ADCF8E}
18,SW48000018,KEYSTONE CATTLE CO.,TX,ACTIVE WELL,USA,31.88633469,-102.93878986,33158,4249533158D1,630958,WHITING OIL AND GAS CORPORATION,UNKNOWN,"KEYSTONE, SE. (WOLFCAMP)",2007/05/02 00:00:00+00,W480490535,{1473917C-F334-4F05-92C8-2AEADCD51942}
19,SW48000019,"HALLEY, S. M. -B-",TX,ACTIVE WELL,USA,31.77911457,-103.05166744,05394,4249505394D1,-999,SUN EXPL. & PROD. CO.-MIDLAND,UNKNOWN,EMPEROR (DEVONIAN),,W480490552,{0B0E49B6-10E5-45EB-8186-9063D7CA1B44}
20,SW48000020,BROWN-ALTMAN -B-,TX,ACTIVE WELL,USA,31.7756642,-103.06670816,00196,4249500196D1,-999,DINERO OPERATING COMPANY,UNKNOWN,EMPEROR (ELLENBURGER),1957/04/08 00:00:00+00,W480490553,{354CCF63-620C-46D6-8274-37158226488D}
21,SW48000021,MORTON 23,TX,ACTIVE WELL,USA,31.71854887,-103.07433597,32813,4249532813D1,664956,EXCHANGE AVENUE PRODUCTION CO.,UNKNOWN,"A. C. MORTON (CANYON REEF, LO.)",2008/09/24 00:00:00+00,W480490570,{806A9943-CE5B-4493-85E9-1D53B3FDB1DD}
22,SW48000022,STONE-MAGNOLIA,TX,ACTIVE WELL,USA,26.36048338,-97.44817644,31109,4248931109D1,557463,DEWBRE PETROLEUM CORPORATION,UNKNOWN,PASO REAL (8600),2005/05/04 00:00:00+00,W480488873,{F7E74330-BC8D-48D6-8907-135760BDB671}
23,SW48000023,"KLEBERG, R J JR TR STILLMAN",TX,ACTIVE WELL,USA,26.58021591,-97.89895219,30932,4248930932DW,780158,"EOG RESOURCES, INC.",UNKNOWN,TORDILLA (DEEP CONS.),2014/05/04 00:00:00+00,W480488842,{492E239E-5B8A-4A34-80FA-F3DF3AAFD8E4}
24,SW48000024,"THOMAS, M. G. ET AL",TX,ACTIVE WELL,USA,26.57623892,-97.88103756,30998,4248930998D2,771135,XTO ENERGY INC.,UNKNOWN,NOT AVAILABLE,,W480488845,{801C3817-69CC-4B67-A23E-17953914CCE1}
25,SW48000025,"COX, B. F.",TX,ACTIVE WELL,USA,26.45733,-97.83506537,31209,4248931209D2,686563,WAGNER OIL COMPANY,UNKNOWN,LA SAL VIEJA (8 AND 9 FRIO),2010/01/09 00:00:00+00,W480488864,{0EAB51D6-134E-4FB3-AAC4-C31D67D47AB6}
26,SW48000026,W.T. WAGGONER ESTATE,TX,ACTIVE WELL,USA,33.94456875,-99.21038003,32948,4248732948DW,769571,"W.T. WAGGONER ESTATE, INC.",UNKNOWN,BETH JANIS (ELLENBURGER),2014/01/25 00:00:00+00,W480491103,{E1B38EDE-E4BF-4EA2-AA34-FAC888396A6A}
27,SW48000027,BRITT RANCH UNIT,TX,ACTIVE WELL,USA,35.53004136,-100.06421812,32233,4248332233D1,629242,LE NORMAN OPERATING LLC,UNKNOWN,STILES RANCH (GRANITE WASH CONS),2007/06/04 00:00:00+00,W480491134,{43C4D990-F3AF-4B95-9AF9-41D50817DC04}
28,SW48000028,BRITT RANCH UNIT,TX,ACTIVE WELL,USA,35.52631435,-100.08916264,32520,4248332520D1,650685,LE NORMAN OPERATING LLC,UNKNOWN,STILES RANCH (GRANITE WASH CONS),2008/07/03 00:00:00+00,W480491137,{D90C8FA6-E51F-4117-B57C-88165970B7AE}
29,SW48000029,CALCOTE,TX,ACTIVE WELL,USA,35.43567833,-100.1264626,32603,4248332603DW,806981,"ENERVEST OPERATING, L.L.C.",UNKNOWN,BRITT RANCH W. (GRANITE WASH A ),2016/07/26 00:00:00+00,W480491215,{0EEE12F5-C6F1-421D-BD2E-69D955D73B97}
30,SW48000030,BASIN ROYALTY,TX,ACTIVE WELL,USA,35.42861987,-100.13137438,32445,4248332445DW,768921,"ENERVEST OPERATING, L.L.C.",UNKNOWN,MILLS RANCH (GRANITE WASH CONS.),2013/12/12 00:00:00+00,W480491219,{F574A1D6-1F04-4A05-8105-527C51612CD5}
